60602,32300,0.09,358888.8889
60604,18200,0.09,202222.2222
60603,18600,0.14,132857.1429
60601,32200,0.39,82564.10256
60654,47700,0.61,78196.72131
60644,251000,3.51,71509.97151
60624,243000,3.54,68644.0678
60651,234000,3.5,66857.14286
60606,17200,0.26,66153.84615
60661,18200,0.3,60666.66667
60636,214000,3.91,54731.4578
60610,88000,1.61,54658.38509
60621,203000,3.73,54423.59249
60611,76000,1.41,53900.70922
60622,126000,2.46,51219.5122
60649,184000,3.92,46938.77551
60612,171000,3.75,45600
60623,237000,5.46,43406.59341
60626,92500,2.17,42626.72811
60640,112000,2.66,42105.26316
60647,169000,4.06,41625.61576
60637,214000,5.24,40839.69466
60620,288000,7.09,40620.59238
60619,244000,6.02,40531.56146
60628,273000,6.87,39737.99127
60653,113000,2.99,37792.64214
60615,103000,2.85,36140.35088
60639,162000,4.88,33196.72131
60642,56500,1.73,32658.95954
60629,221000,6.87,32168.85007
60660,47100,1.52,30986.84211
60657,93200,3.05,30557.37705
60614,105000,3.46,30346.82081
60607,65500,2.32,28232.75862
60609,211000,7.78,27120.82262
60618,133000,5.06,26284.58498
60641,106000,4.04,26237.62376
60616,110000,4.62,23809.52381
60625,92000,3.91,23529.41176
60605,46800,2,23400
60659,46500,2.03,22906.40394
60608,145000,6.53,22205.20674
60613,57700,2.62,22022.90076
60645,47300,2.26,20929.20354
60632,136000,7.48,18181.81818
60617,235000,15.37,15289.52505
60643,110000,7.36,14945.65217
60652,66000,5.02,13147.41036
60630,57600,4.77,12075.4717
60634,79300,7.12,11137.64045
60707,22200,3.61,6149.584488
60656,20000,3.27,6116.207951
60638,65500,11.1,5900.900901
60655,22300,4.41,5056.689342
60631,17700,3.72,4758.064516
60646,18100,4.57,3960.612691
60827,27700,7.48,3703.208556
60666,24600,7,3514.285714
60633,13600,12.21,1113.841114
